Country Name,Series Name,Year,Value
Afghanistan,"Services, value added (% of GDP)",2014,52.99086504
Afghanistan,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,22.13704137
Afghanistan,"Manufacturing, value added (% of GDP)",2014,11.47758756
Afghanistan,"Industry (including construction), value added (% of GDP)",2014,21.22966322
Albania,"Services, value added (% of GDP)",2014,45.78239166
Albania,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,19.99018136
Albania,"Manufacturing, value added (% of GDP)",2014,5.325788985
Albania,"Industry (including construction), value added (% of GDP)",2014,21.50884574
Algeria,"Services, value added (% of GDP)",2014,47.90360223
Algeria,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,9.407074409
Algeria,"Manufacturing, value added (% of GDP)",2014,9.877979709
Algeria,"Industry (including construction), value added (% of GDP)",2014,38.56141383
American Samoa,"Services, value added (% of GDP)",2014,
American Samoa,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,
American Samoa,"Manufacturing, value added (% of GDP)",2014,11.97511664
American Samoa,"Industry (including construction), value added (% of GDP)",2014,
Andorra,"Services, value added (% of GDP)",2014,78.24370911
Andorra,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.537623493
Andorra,"Manufacturing, value added (% of GDP)",2014,3.676873663
Andorra,"Industry (including construction), value added (% of GDP)",2014,10.1535313
Angola,"Services, value added (% of GDP)",2014,46.81392753
Angola,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,7.547056779
Angola,"Manufacturing, value added (% of GDP)",2014,4.763071572
Angola,"Industry (including construction), value added (% of GDP)",2014,46.20332557
Antigua and Barbuda,"Services, value added (% of GDP)",2014,73.94650321
Antigua and Barbuda,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,1.441104103
Antigua and Barbuda,"Manufacturing, value added (% of GDP)",2014,2.76939111
Antigua and Barbuda,"Industry (including construction), value added (% of GDP)",2014,15.36541995
Argentina,"Services, value added (% of GDP)",2014,52.94054347
Argentina,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,6.712703514
